Month,Avg_sunspot_count
2011-01-01,46.77937485444633
2011-01-02,53.15298155688104
2011-01-03,57.489619283282515
2011-01-04,58.875328209573375
2011-01-05,63.73837421761334
2011-01-06,68.9497778765769
2011-01-07,73.89499293739364
2011-01-08,80.80726491293473
2011-01-09,91.74958829564243
2011-01-10,99.19176376136804
2011-01-11,101.56286723471678
2011-01-12,109.87113518881416
2012-01-01,91.7289301489099
2012-01-02,97.5117658391175
2012-01-03,98.16021610369819
2012-01-04,104.38956436021584
2012-01-05,110.90170264770794
2012-01-06,116.70319618934315
2012-01-07,125.26570589245779
2012-01-08,139.55262578180225
2012-01-09,148.02882300956892
2012-01-10,148.6993954241815
2012-01-11,157.75337742828833
2012-01-12,167.16965582833757
2013-01-01,170.46516344749585
2013-01-02,176.01274053863423
2013-01-03,181.53132056489014
2013-01-04,185.42863753194638
2013-01-05,193.16365873122788
2013-01-06,208.80643712946912
2013-01-07,214.91918995412598
2013-01-08,209.4896078501421
2013-01-09,215.60898655161756
2013-01-10,221.63939274365197
2013-01-11,225.6449393723152
2013-01-12,234.25935188772687
2014-01-01,248.12255960095396
2014-01-02,244.30403074343764
2014-01-03,238.24169906851154
2014-01-04,236.93210037638144
2014-01-05,244.51287669220758
2014-01-06,240.28608143779798
2014-01-07,223.63533721956912
2014-01-08,219.77847492450235
2014-01-09,215.74404462011157
2014-01-10,209.76270091180584
2014-01-11,207.99717859546058
2014-01-12,214.03483939916046
2015-01-01,217.2381429136242
2015-01-02,209.31252625628804
2015-01-03,205.7114688590757
2015-01-04,209.8397769046415
2015-01-05,203.86283930649208
2015-01-06,187.60358319376934
2015-01-07,182.34125248244732
2015-01-08,177.06362148972056
2015-01-09,170.33321800823322
2015-01-10,167.153328360442
2015-01-11,170.2737120744275
2015-01-12,165.2002370859705
2016-01-01,196.0673964230657
2016-01-02,189.41817854298355
2016-01-03,189.94163908837973
2016-01-04,181.40047152837238
2016-01-05,164.09659210774873
2016-01-06,156.79193549282152
2016-01-07,149.67721686133686
2016-01-08,141.5520157888494
2016-01-09,136.5651927171279
2016-01-10,136.77717220418353
2016-01-11,130.46618842940524
2016-01-12,117.87016598404192
2017-01-01,132.78745215849656
2017-01-02,129.38359868686805
2017-01-03,119.39611447002656
2017-01-04,116.38995017284849
2017-01-05,113.35605707021026
2017-01-06,109.36807154989826
2017-01-07,107.64995046760815
2017-01-08,110.00456246243719
2017-01-09,107.04664350985414
2017-01-10,98.65386099591026
2017-01-11,96.05916487123176
2017-01-12,93.45382687314414
2018-01-01,87.77637807086323
2018-01-02,80.39359941666135
2018-01-03,77.81869087438491
2018-01-04,75.27740479957805
2018-01-05,72.15385893327775
2018-01-06,70.58130929804533
2018-01-07,71.71217550835075
2018-01-08,69.38729203887712
2018-01-09,63.58248892609069
2018-01-10,61.59164617342931
2018-01-11,59.62901631300483
2018-01-12,57.204156955415016
2019-01-01,50.71480883812084
2019-01-02,49.9541599497478
2019-01-03,49.1913458637923
2019-01-04,48.01255474263105
2019-01-05,47.84942087273763
2019-01-06,49.559980880360825
2019-01-07,48.88638315825801
2019-01-08,45.669828843474846
2019-01-09,45.133322339269284
2019-01-10,44.59283433827219
2019-01-11,43.67103636475777
2019-01-12,43.67316481785392
2020-01-01,35.92541447204623
2020-01-02,36.671337424174915
2020-01-03,37.10733565576815
2020-01-04,38.35108048987294
2020-01-05,41.20573057291853
2020-01-06,42.15979743759716
2020-01-07,40.85297093793664
2020-01-08,41.88956102492197
2020-01-09,42.94692944729472
2020-01-10,43.64733299371351
2020-01-11,45.30100244414127
2020-01-12,48.86875309226993
